epoch,accuracy,loss,pr_auc,precision,recall,roc_auc,val_accuracy,val_loss,val_pr_auc,val_precision,val_recall,val_roc_auc
0,0.7190336585044861,0.9126710295677185,0.6204531192779541,0.6542224287986755,0.43739989399909973,0.7784238457679749,0.307620108127594,3.064272165298462,0.26028281450271606,0.2799013555049896,0.9373123049736023,0.5365681648254395
1,0.9645955562591553,0.44241487979888916,0.9754952788352966,0.9708766341209412,0.8854778409004211,0.9879482388496399,0.41450825333595276,3.5636510848999023,0.2819376289844513,0.29927006363868713,0.908033013343811,0.582923173904419
2,0.9941604137420654,0.317911833524704,0.9975433945655823,0.9958915114402771,0.9706353545188904,0.998996913433075,0.4300863444805145,3.582305431365967,0.2882458567619324,0.3031887710094452,0.8922672867774963,0.5915597081184387
3,0.9977309107780457,0.2629390060901642,0.9990813732147217,0.9981104135513306,0.987052857875824,0.9996647834777832,0.45636260509490967,3.9691720008850098,0.32660096883773804,0.3109811544418335,0.8982732892036438,0.6448478698730469
4,0.9984650015830994,0.2204546332359314,0.9996304512023926,0.9986564517021179,0.9921249151229858,0.9997085332870483,0.4482920467853546,4.210881233215332,0.2916024625301361,0.30524682998657227,0.8866366147994995,0.5941308736801147
5,0.9994661211967468,0.18148182332515717,0.9999939799308777,0.9998660683631897,0.9965296387672424,0.9999979734420776,0.42783409357070923,5.226472854614258,0.2964409589767456,0.3002973198890686,0.9099099040031433,0.6010304689407349
6,0.999733030796051,0.1540982574224472,0.999994695186615,0.9997326731681824,0.9982647895812988,0.9999982118606567,0.4979354441165924,4.259842395782471,0.2957070469856262,0.31181538105010986,0.8014264106750488,0.6023377180099487
