file,patient,windows,preictal,interictal,raw_accuracy,raw_precision,raw_recall,raw_f1,raw_auc,raw_tp,raw_fp,raw_fn,raw_tn,smooth_accuracy,smooth_precision,smooth_recall,smooth_f1,smooth_auc,smooth_tp,smooth_fp,smooth_fn,smooth_tn
chb03_28_processed_smoothing_freq.npz,chb03,1439,0,1439,0.35232800555941624,0.0,0.0,0.0,,0,932,0,507,0.32870048644892286,0.0,0.0,0.0,,0,966,0,473
chb03_29_processed_smoothing_freq.npz,chb03,1439,0,1439,0.006949270326615705,0.0,0.0,0.0,,0,1429,0,10,0.0020847810979847115,0.0,0.0,0.0,,0,1436,0,3
chb03_30_processed_smoothing_freq.npz,chb03,1439,0,1439,0.4107018763029882,0.0,0.0,0.0,,0,848,0,591,0.39749826268241834,0.0,0.0,0.0,,0,867,0,572
chb03_31_processed_smoothing_freq.npz,chb03,1439,0,1439,0.4197359277275886,0.0,0.0,0.0,,0,835,0,604,0.39054899235580265,0.0,0.0,0.0,,0,877,0,562
chb03_32_processed_smoothing_freq.npz,chb03,1439,0,1439,0.3488533703961084,0.0,0.0,0.0,,0,937,0,502,0.32453092425295343,0.0,0.0,0.0,,0,972,0,467
chb03_33_processed_smoothing_freq.npz,chb03,1439,0,1439,0.08061153578874218,0.0,0.0,0.0,,0,1323,0,116,0.045170257123002086,0.0,0.0,0.0,,0,1374,0,65
chb03_34_processed_smoothing_freq.npz,chb03,1298,240,1058,0.6556240369799692,0.2564705882352941,0.45416666666666666,0.32781954887218046,0.6152252678008822,109,316,131,742,0.6833590138674884,0.2878411910669975,0.48333333333333334,0.3608087091757387,0.6485389098928798,116,287,124,771
chb03_35_processed_smoothing_freq.npz,chb03,1291,240,1051,0.5011618900077459,0.24430379746835443,0.8041666666666667,0.37475728155339805,0.6988423723437996,193,597,47,454,0.506584043377227,0.24583866837387963,0.8,0.376101860920666,0.7348200126863305,192,589,48,462
chb03_36_processed_smoothing_freq.npz,chb03,1296,240,1056,0.7399691358024691,0.2744186046511628,0.24583333333333332,0.25934065934065936,0.6936908143939393,59,156,181,900,0.7692901234567902,0.2907801418439716,0.17083333333333334,0.2152230971128609,0.7253038194444443,41,100,199,956
chb03_37_processed_smoothing_freq.npz,chb03,1439,0,1439,0.02640722724113968,0.0,0.0,0.0,,0,1401,0,38,0.010423905489923557,0.0,0.0,0.0,,0,1424,0,15
chb03_38_processed_smoothing_freq.npz,chb03,1439,0,1439,0.07505211952744961,0.0,0.0,0.0,,0,1331,0,108,0.029881862404447533,0.0,0.0,0.0,,0,1396,0,43
chb20_01_processed_smoothing_freq.npz,chb20,1441,0,1441,0.002081887578070784,0.0,0.0,0.0,,0,1438,0,3,0.0006939625260235947,0.0,0.0,0.0,,0,1440,0,1
