epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.6305004358291626,0.7632531523704529,1.0441862344741821,0.20136602222919464,0.9986267685890198,0.7065298557281494,0.5082281827926636,0.6516290307044983,0.25002333521842957,1.0
1,0.8398840427398682,0.9067552089691162,0.7193438410758972,0.23121438920497894,0.9875648617744446,0.7341417670249939,0.6109156608581543,0.6293346285820007,0.3140096664428711,0.5820895433425903
2,0.884482741355896,0.9433359503746033,0.563307523727417,0.2937181293964386,0.9798596501350403,0.7140858173370361,0.643612265586853,0.8911061882972717,0.3263546824455261,0.2966417968273163
3,0.9059810638427734,0.9564339518547058,0.4906585216522217,0.33826521039009094,0.9767317771911621,0.7287313342094421,0.6031830310821533,1.065553069114685,0.2741341292858124,0.13880597054958344
4,0.9188129305839539,0.9657449722290039,0.4385428726673126,0.37114325165748596,0.9810039401054382,0.7616604566574097,0.6790792346000671,1.0823804140090942,0.5692963600158691,0.19925373792648315
5,0.9229325652122498,0.9683858156204224,0.41844913363456726,0.39288556575775146,0.9790967106819153,0.7511193752288818,0.6514109373092651,1.1146711111068726,0.45519712567329407,0.18955223262310028
6,0.9280744791030884,0.9714167714118958,0.3988752067089081,0.4092949330806732,0.9809277057647705,0.7346082329750061,0.5497369170188904,1.4049700498580933,0.21059972047805786,0.056343283504247665
7,0.9318431615829468,0.9736136198043823,0.3832333981990814,0.42405733466148376,0.9797833561897278,0.7407649159431458,0.5993357300758362,1.3178197145462036,0.3450789749622345,0.10597015172243118
8,0.9320567846298218,0.973801851272583,0.3816412091255188,0.43236520886421204,0.9812328219413757,0.7431902885437012,0.578713059425354,1.345462441444397,0.3209700286388397,0.08395522087812424
9,0.9356881380081177,0.9752683043479919,0.3694252073764801,0.44028496742248535,0.980698823928833,0.7444030046463013,0.6069284677505493,1.3075960874557495,0.3847102224826813,0.11641790717840195
