epoch,accuracy,loss,pr_auc,precision,recall,roc_auc,val_accuracy,val_loss,val_pr_auc,val_precision,val_recall,val_roc_auc
0,0.5553256869316101,2.135476589202881,0.32389840483665466,0.33680105209350586,0.31113186478614807,0.5800050497055054,0.31728604435920715,2.368006944656372,0.17374125123023987,0.09706901758909225,0.115615613758564,0.3128935694694519
1,0.655198872089386,1.8960366249084473,0.5021496415138245,0.5119540691375732,0.4287239611148834,0.713537335395813,0.37002629041671753,2.5831353664398193,0.17934906482696533,0.13804541528224945,0.20307807624340057,0.3383033275604248
2,0.7848038077354431,1.627892255783081,0.762325644493103,0.7483292818069458,0.6127869486808777,0.8667547702789307,0.4319632053375244,2.753796339035034,0.19242459535598755,0.15582790970802307,0.2338588535785675,0.3934357464313507
3,0.8865790367126465,1.4260425567626953,0.900426983833313,0.8912975788116455,0.7628136873245239,0.9455075860023499,0.4934309422969818,2.7732110023498535,0.205956369638443,0.16510820388793945,0.23198197782039642,0.43986642360687256
4,0.9399025440216064,1.2783498764038086,0.958823561668396,0.9495736360549927,0.8621196150779724,0.9787833094596863,0.5159534811973572,3.0356099605560303,0.22204244136810303,0.22229981422424316,0.3584834933280945,0.48655298352241516
5,0.9696676731109619,1.1681137084960938,0.982954740524292,0.9734110832214355,0.9137746691703796,0.991729736328125,0.5472034811973572,2.9249167442321777,0.23139892518520355,0.22776348888874054,0.33258259296417236,0.5105172991752625
6,0.9838827848434448,1.0770634412765503,0.9929470419883728,0.9875380992889404,0.9519487619400024,0.9967167377471924,0.5480480194091797,2.972285747528076,0.22526992857456207,0.16829191148281097,0.20082582533359528,0.49168699979782104
